Timestamp,Davis Hall Total Electric Meter Demand (C),Davis Hall Total Electric Meter Usage (C)
2024-01-01T00:00:00-08:00 Los_Angeles,80.63999938964844kW,76.25kWh
2024-01-01T01:00:00-08:00 Los_Angeles,79.04000091552734kW,77.25kWh
2024-01-01T02:00:00-08:00 Los_Angeles,81.72799682617188kW,75.25kWh
2024-01-01T03:00:00-08:00 Los_Angeles,81.02400207519531kW,77.25kWh
2024-01-01T04:00:00-08:00 Los_Angeles,81.91999816894531kW,76.5kWh
2024-01-01T05:00:00-08:00 Los_Angeles,142.0159912109375kW,122.75kWh
2024-01-01T06:00:00-08:00 Los_Angeles,144.76800537109375kW,143.5kWh
2024-01-01T07:00:00-08:00 Los_Angeles,144.38400268554688kW,141.25kWh
2024-01-01T08:00:00-08:00 Los_Angeles,145.0240020751953kW,142.5kWh
2024-01-01T09:00:00-08:00 Los_Angeles,156.9919891357422kW,144.5kWh
2024-01-01T10:00:00-08:00 Los_Angeles,165.2480010986328kW,155.5kWh
2024-01-01T11:00:00-08:00 Los_Angeles,168.70401000976562kW,161.25kWh
2024-01-01T12:00:00-08:00 Los_Angeles,171.90399169921875kW,162.5kWh
2024-01-01T13:00:00-08:00 Los_Angeles,170.04800415039062kW,165.75kWh
2024-01-01T14:00:00-08:00 Los_Angeles,168.19200134277344kW,158.5kWh
2024-01-01T15:00:00-08:00 Los_Angeles,169.9840087890625kW,163.75kWh
2024-01-01T16:00:00-08:00 Los_Angeles,171.2639923095703kW,166.75kWh
2024-01-01T17:00:00-08:00 Los_Angeles,168kW,165.75kWh
2024-01-01T18:00:00-08:00 Los_Angeles,158.72000122070312kW,156.5kWh
2024-01-01T19:00:00-08:00 Los_Angeles,152.25601196289062kW,147.25kWh
2024-01-01T20:00:00-08:00 Los_Angeles,135.29598999023438kW,100.25kWh
2024-01-01T21:00:00-08:00 Los_Angeles,96.06400299072266kW,92.25kWh
2024-01-01T22:00:00-08:00 Los_Angeles,96.25599670410156kW,91.5kWh
2024-01-01T23:00:00-08:00 Los_Angeles,94.20799255371094kW,90.25kWh
2024-01-02T00:00:00-08:00 Los_Angeles,96.32000732421875kW,91.5kWh
2024-01-02T01:00:00-08:00 Los_Angeles,94.46399688720703kW,90.25kWh
2024-01-02T02:00:00-08:00 Los_Angeles,94.46399688720703kW,91.5kWh
2024-01-02T03:00:00-08:00 Los_Angeles,93.3759994506836kW,90kWh
2024-01-02T04:00:00-08:00 Los_Angeles,95.10399627685547kW,91.25kWh
2024-01-02T05:00:00-08:00 Los_Angeles,152kW,134.25kWh
2024-01-02T06:00:00-08:00 Los_Angeles,158.9759979248047kW,154.5kWh
2024-01-02T07:00:00-08:00 Los_Angeles,153.8560028076172kW,151.25kWh
2024-01-02T08:00:00-08:00 Los_Angeles,157.50399780273438kW,154.75kWh
2024-01-02T09:00:00-08:00 Los_Angeles,150.5919952392578kW,145.75kWh
2024-01-02T10:00:00-08:00 Los_Angeles,154.04800415039062kW,144.75kWh
2024-01-02T11:00:00-08:00 Los_Angeles,137.7919921875kW,134.25kWh
2024-01-02T12:00:00-08:00 Los_Angeles,141.1840057373047kW,134.75kWh
